team,teamValue,gs,gc,gd,win,draw,loss,ranking,points
Spain,622000000,14,3,11,6,2,0,2,20
Germany,562000000,36,10,26,9,1,0,3,28
Brazil,467500000,59,15,44,16,4,2,1,52
France,411750000,18,8,10,6,2,2,12,20
Argentina,391500000,35,15,20,9,5,2,4,22
Belgium,348000000,18,4,14,8,2,0,18,26
England,334000000,31,4,27,6,4,0,6,22
Italy,323000000,19,9,10,6,4,0,11,22
Portugal,297630000,24,11,13,8,3,1,8,27
Uruguay,217630000,30,25,5,8,5,5,9,29
Netherlands,207500000,34,5,29,9,1,0,5,28
Croatia,193250000,14,9,5,6,3,3,21,21
Colombia,190200000,27,13,14,9,3,4,6,30
Russia,183800000,20,5,15,7,1,1,15,22
Switzerland,178000000,17,6,11,7,3,0,14,24
Chile,139300000,29,25,4,9,1,6,10,28
Ivory Coast,121700000,19,7,12,5,3,0,24,18
Cameroon,118450000,12,4,8,5,2,1,58,17
Bosnia and Herzegovina,114950000,30,6,24,8,1,1,23,25
Japan,98000000,30,8,22,8,3,3,25,27
Mexico,96550000,22,11,11,8,5,3,22,29
Ghana,96350000,25,6,19,6,0,2,38,18
Nigeria,86850000,11,4,7,5,3,0,31,18
Greece,79900000,16,6,10,9,2,1,16,29
Ecuador,62850000,20,16,4,7,4,5,17,25
United States,57800000,26,14,12,11,2,3,13,35
Algeria,57200000,16,7,9,6,0,2,61,18
South Korea,51930000,27,11,16,8,3,3,44,27
Costa Rica,29630000,27,12,15,8,4,4,29,28
Iran,24100000,30,7,23,10,4,2,30,34
Australia,21350000,25,12,13,8,4,4,31,28
Honduras,21150000,25,15,10,7,5,4,43,26
